task_id,model,ground_truth_rating,ground_truth_category,predicted_rating,predicted_category,vulnerable_lines,rating_correct,category_correct,latency_sec,success,error,raw_response
access_control_FibonacciBalance.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,access_control,VULNERABLE,access_control,"[31, 38]",True,True,29.4996,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""access_control"",
  ""vulnerable_lines"": [31, 38]
}"
access_control_arbitrary_location_write_simple.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,access_control,VULNERABLE,access_control,[27],True,True,13.7696,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""access_control"",
  ""vulnerable_lines"": [27]
}"
access_control_incorrect_constructor_name1.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,access_control,VULNERABLE,access_control,[20],True,True,11.6359,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""access_control"",
  ""vulnerable_lines"": [20]
}"
access_control_incorrect_constructor_name2.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,access_control,VULNERABLE,access_control,[18],True,True,10.5392,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""access_control"",
  ""vulnerable_lines"": [18]
}"
access_control_incorrect_constructor_name3.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,access_control,VULNERABLE,access_control,[17],True,True,10.4743,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""access_control"",
  ""vulnerable_lines"": [17]
}"
access_control_mapping_write.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,access_control,VULNERABLE,access_control,[20],True,True,11.957,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""access_control"",
  ""vulnerable_lines"": [20]
}"
access_control_multiowned_vulnerable.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,access_control,VULNERABLE,access_control,[38],True,True,15.5581,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""access_control"",
  ""vulnerable_lines"": [38]
}"
access_control_mycontract.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,access_control,VULNERABLE,access_control,[20],True,True,10.743,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""access_control"",
  ""vulnerable_lines"": [20]
}"
access_control_parity_wallet_bug_1.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,access_control,,,[],False,False,297.7243,False,"3 validation errors for LLMPrediction
rating
  Field required [type=missing, input_value={'description': 'The prov...uint[256] m_owners;\n}'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
vulnerability_category
  Field required [type=missing, input_value={'description': 'The prov...uint[256] m_owners;\n}'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
vulnerable_lines
  Field required [type=missing, input_value={'description': 'The prov...uint[256] m_owners;\n}'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing",
access_control_parity_wallet_bug_2.sol,qwen2.5-coder:7b-instruct-q4_K_M,VULNERABLE,access_control,VULNERABLE,access_control,"[226, 233]",True,True,88.2191,True,,"{
  ""rating"": ""VULNERABLE"",
  ""vulnerability_category"": ""access_control"",
  ""vulnerable_lines"": [226, 233]
}"
